County Name,Date,Cases
Navarro,03-04-2020,0.0
Newton,03-04-2020,0.0
Nolan,03-04-2020,0.0
Nueces,03-04-2020,0.0
Ochiltree,03-04-2020,0.0
Oldham,03-04-2020,0.0
Orange,03-04-2020,0.0
Palo Pinto,03-04-2020,0.0
Panola,03-04-2020,0.0
Parker,03-04-2020,0.0
Parmer,03-04-2020,0.0
Pecos,03-04-2020,0.0
Polk,03-04-2020,0.0
Potter,03-04-2020,0.0
Presidio,03-04-2020,0.0
Rains,03-04-2020,0.0
Randall,03-04-2020,0.0
Reagan,03-04-2020,0.0
Real,03-04-2020,0.0
Red River,03-04-2020,0.0
Reeves,03-04-2020,0.0
Refugio,03-04-2020,0.0
Roberts,03-04-2020,0.0
Robertson,03-04-2020,0.0
Rockwall,03-04-2020,0.0
Runnels,03-04-2020,0.0
Rusk,03-04-2020,0.0
Sabine,03-04-2020,0.0
San Augustine,03-04-2020,0.0
San Jacinto,03-04-2020,0.0
San Patricio,03-04-2020,0.0
San Saba,03-04-2020,0.0
Schleicher,03-04-2020,0.0
Scurry,03-04-2020,0.0
Shackelford,03-04-2020,0.0
Shelby,03-04-2020,0.0
Sherman,03-04-2020,0.0
Smith,03-04-2020,0.0
Somervell,03-04-2020,0.0
Starr,03-04-2020,0.0
Stephens,03-04-2020,0.0
Sterling,03-04-2020,0.0
Stonewall,03-04-2020,0.0
Sutton,03-04-2020,0.0
Swisher,03-04-2020,0.0
Tarrant,03-04-2020,0.0
Taylor,03-04-2020,0.0
Terrell,03-04-2020,0.0
Terry,03-04-2020,0.0
Throckmorton,03-04-2020,0.0
Titus,03-04-2020,0.0
Tom Green,03-04-2020,0.0
Travis,03-04-2020,0.0
Trinity,03-04-2020,0.0
Tyler,03-04-2020,0.0
Upshur,03-04-2020,0.0
Upton,03-04-2020,0.0
Uvalde,03-04-2020,0.0
Val Verde,03-04-2020,0.0
Van Zandt,03-04-2020,0.0
Victoria,03-04-2020,0.0
Walker,03-04-2020,0.0
Waller,03-04-2020,0.0
Ward,03-04-2020,0.0
Washington,03-04-2020,0.0
Webb,03-04-2020,0.0
Wharton,03-04-2020,0.0
Wheeler,03-04-2020,0.0
Wichita,03-04-2020,0.0
Wilbarger,03-04-2020,0.0
Willacy,03-04-2020,0.0
Williamson,03-04-2020,0.0
Wilson,03-04-2020,0.0
Winkler,03-04-2020,0.0
Wise,03-04-2020,0.0
Wood,03-04-2020,0.0
Yoakum,03-04-2020,0.0
Young,03-04-2020,0.0
Zapata,03-04-2020,0.0
Zavala,03-04-2020,0.0
Total,03-04-2020,0.0
Counties Reporting Cases,03-04-2020,0.0
Anderson,03-05-2020,0.0
Andrews,03-05-2020,0.0
Angelina,03-05-2020,0.0
Aransas,03-05-2020,0.0
Archer,03-05-2020,0.0
Armstrong,03-05-2020,0.0
Atascosa,03-05-2020,0.0
Austin,03-05-2020,0.0
Bailey,03-05-2020,0.0
Bandera,03-05-2020,0.0
Bastrop,03-05-2020,0.0
Baylor,03-05-2020,0.0
Bee,03-05-2020,0.0
Bell,03-05-2020,0.0
Bexar,03-05-2020,0.0
Blanco,03-05-2020,0.0
Borden,03-05-2020,0.0
Bosque,03-05-2020,0.0
Bowie,03-05-2020,0.0
Brazoria,03-05-2020,0.0
Brazos,03-05-2020,0.0
Brewster,03-05-2020,0.0
Briscoe,03-05-2020,0.0
Brooks,03-05-2020,0.0
Brown,03-05-2020,0.0
Burleson,03-05-2020,0.0
Burnet,03-05-2020,0.0
Caldwell,03-05-2020,0.0
Calhoun,03-05-2020,0.0
Callahan,03-05-2020,0.0
Cameron,03-05-2020,0.0
Camp,03-05-2020,0.0
Carson,03-05-2020,0.0
Cass,03-05-2020,0.0
Castro,03-05-2020,0.0
Chambers,03-05-2020,0.0
Cherokee,03-05-2020,0.0
Childress,03-05-2020,0.0
Clay,03-05-2020,0.0
Cochran,03-05-2020,0.0
Coke,03-05-2020,0.0
Coleman,03-05-2020,0.0
Collin,03-05-2020,0.0
Collingsworth,03-05-2020,0.0
Colorado,03-05-2020,0.0
Comal,03-05-2020,0.0
Comanche,03-05-2020,0.0
Concho,03-05-2020,0.0
Cooke,03-05-2020,0.0
Coryell,03-05-2020,0.0
Cottle,03-05-2020,0.0
Crane,03-05-2020,0.0
Crockett,03-05-2020,0.0
Crosby,03-05-2020,0.0
Culberson,03-05-2020,0.0
Dallam,03-05-2020,0.0
Dallas,03-05-2020,0.0
Dawson,03-05-2020,0.0
Deaf Smith,03-05-2020,0.0
Delta,03-05-2020,0.0
Denton,03-05-2020,0.0
DeWitt,03-05-2020,0.0
Dickens,03-05-2020,0.0
Dimmit,03-05-2020,0.0
Donley,03-05-2020,0.0
Duval,03-05-2020,0.0
Eastland,03-05-2020,0.0
Ector,03-05-2020,0.0
Edwards,03-05-2020,0.0
Ellis,03-05-2020,0.0
El Paso,03-05-2020,0.0
Erath,03-05-2020,0.0
Falls,03-05-2020,0.0
Fannin,03-05-2020,0.0
Fayette,03-05-2020,0.0
Fisher,03-05-2020,0.0
Floyd,03-05-2020,0.0
Foard,03-05-2020,0.0
Fort Bend,03-05-2020,0.0
Franklin,03-05-2020,0.0
Freestone,03-05-2020,0.0
Frio,03-05-2020,0.0
Gaines,03-05-2020,0.0
Galveston,03-05-2020,0.0
Garza,03-05-2020,0.0
Gillespie,03-05-2020,0.0
Glasscock,03-05-2020,0.0
Goliad,03-05-2020,0.0
Gonzales,03-05-2020,0.0
Gray,03-05-2020,0.0
Grayson,03-05-2020,0.0
Gregg,03-05-2020,0.0
Grimes,03-05-2020,0.0
Guadalupe,03-05-2020,0.0
Hale,03-05-2020,0.0
Hall,03-05-2020,0.0
Hamilton,03-05-2020,0.0
Hansford,03-05-2020,0.0
Hardeman,03-05-2020,0.0
Hardin,03-05-2020,0.0
Harris,03-05-2020,0.0
Harrison,03-05-2020,0.0
Hartley,03-05-2020,0.0
Haskell,03-05-2020,0.0
Hays,03-05-2020,0.0
Hemphill,03-05-2020,0.0
Henderson,03-05-2020,0.0
Hidalgo,03-05-2020,0.0
Hill,03-05-2020,0.0
Hockley,03-05-2020,0.0
Hood,03-05-2020,0.0
Hopkins,03-05-2020,0.0
Houston,03-05-2020,0.0
Howard,03-05-2020,0.0
Hudspeth,03-05-2020,0.0
Hunt,03-05-2020,0.0
Hutchinson,03-05-2020,0.0
Irion,03-05-2020,0.0
Jack,03-05-2020,0.0
Jackson,03-05-2020,0.0
Jasper,03-05-2020,0.0
Jeff Davis,03-05-2020,0.0
Jefferson,03-05-2020,0.0
Jim Hogg,03-05-2020,0.0
Jim Wells,03-05-2020,0.0
Johnson,03-05-2020,0.0
Jones,03-05-2020,0.0
Karnes,03-05-2020,0.0
Kaufman,03-05-2020,0.0
Kendall,03-05-2020,0.0
Kenedy,03-05-2020,0.0
Kent,03-05-2020,0.0
Kerr,03-05-2020,0.0
Kimble,03-05-2020,0.0
King,03-05-2020,0.0
Kinney,03-05-2020,0.0
Kleberg,03-05-2020,0.0
Knox,03-05-2020,0.0
Lamar,03-05-2020,0.0
Lamb,03-05-2020,0.0
Lampasas,03-05-2020,0.0
La Salle,03-05-2020,0.0
Lavaca,03-05-2020,0.0
Lee,03-05-2020,0.0
Leon,03-05-2020,0.0
Liberty,03-05-2020,0.0
Limestone,03-05-2020,0.0
Lipscomb,03-05-2020,0.0
Live Oak,03-05-2020,0.0
Llano,03-05-2020,0.0
Loving,03-05-2020,0.0
Lubbock,03-05-2020,0.0
Lynn,03-05-2020,0.0
McCulloch,03-05-2020,0.0
McLennan,03-05-2020,0.0
McMullen,03-05-2020,0.0
Madison,03-05-2020,0.0
Marion,03-05-2020,0.0
Martin,03-05-2020,0.0
Mason,03-05-2020,0.0
Matagorda,03-05-2020,0.0
Maverick,03-05-2020,0.0
Medina,03-05-2020,0.0
Menard,03-05-2020,0.0
Midland,03-05-2020,0.0
Milam,03-05-2020,0.0
Mills,03-05-2020,0.0
Mitchell,03-05-2020,0.0
Montague,03-05-2020,0.0
Montgomery,03-05-2020,0.0
Moore,03-05-2020,0.0
Morris,03-05-2020,0.0
Motley,03-05-2020,0.0
Nacogdoches,03-05-2020,0.0
Navarro,03-05-2020,0.0
Newton,03-05-2020,0.0
Nolan,03-05-2020,0.0
Nueces,03-05-2020,0.0
Ochiltree,03-05-2020,0.0
Oldham,03-05-2020,0.0
Orange,03-05-2020,0.0
Palo Pinto,03-05-2020,0.0
Panola,03-05-2020,0.0
Parker,03-05-2020,0.0
Parmer,03-05-2020,0.0
Pecos,03-05-2020,0.0
Polk,03-05-2020,0.0
Potter,03-05-2020,0.0
Presidio,03-05-2020,0.0
Rains,03-05-2020,0.0
Randall,03-05-2020,0.0
Reagan,03-05-2020,0.0
Real,03-05-2020,0.0
Red River,03-05-2020,0.0
Reeves,03-05-2020,0.0
Refugio,03-05-2020,0.0
Roberts,03-05-2020,0.0
Robertson,03-05-2020,0.0
Rockwall,03-05-2020,0.0
Runnels,03-05-2020,0.0
Rusk,03-05-2020,0.0
Sabine,03-05-2020,0.0
San Augustine,03-05-2020,0.0
San Jacinto,03-05-2020,0.0
San Patricio,03-05-2020,0.0
San Saba,03-05-2020,0.0
Schleicher,03-05-2020,0.0
Scurry,03-05-2020,0.0
Shackelford,03-05-2020,0.0
Shelby,03-05-2020,0.0
Sherman,03-05-2020,0.0
Smith,03-05-2020,0.0
Somervell,03-05-2020,0.0
Starr,03-05-2020,0.0
Stephens,03-05-2020,0.0
Sterling,03-05-2020,0.0
Stonewall,03-05-2020,0.0
Sutton,03-05-2020,0.0
Swisher,03-05-2020,0.0
Tarrant,03-05-2020,0.0
Taylor,03-05-2020,0.0
Terrell,03-05-2020,0.0
Terry,03-05-2020,0.0
Throckmorton,03-05-2020,0.0
Titus,03-05-2020,0.0
Tom Green,03-05-2020,0.0
Travis,03-05-2020,0.0
Trinity,03-05-2020,0.0
Tyler,03-05-2020,0.0
Upshur,03-05-2020,0.0
Upton,03-05-2020,0.0
Uvalde,03-05-2020,0.0
Val Verde,03-05-2020,0.0
Van Zandt,03-05-2020,0.0
Victoria,03-05-2020,0.0
Walker,03-05-2020,0.0
Waller,03-05-2020,0.0
Ward,03-05-2020,0.0
Washington,03-05-2020,0.0
Webb,03-05-2020,0.0
Wharton,03-05-2020,0.0
Wheeler,03-05-2020,0.0
Wichita,03-05-2020,0.0
Wilbarger,03-05-2020,0.0
Willacy,03-05-2020,0.0
Williamson,03-05-2020,0.0
Wilson,03-05-2020,0.0
Winkler,03-05-2020,0.0
Wise,03-05-2020,0.0
Wood,03-05-2020,0.0
Yoakum,03-05-2020,0.0
Young,03-05-2020,0.0
Zapata,03-05-2020,0.0
Zavala,03-05-2020,0.0
Total,03-05-2020,0.0
Counties Reporting Cases,03-05-2020,0.0
Anderson,03-06-2020,0.0
Andrews,03-06-2020,0.0
Angelina,03-06-2020,0.0
Aransas,03-06-2020,0.0
Archer,03-06-2020,0.0
Armstrong,03-06-2020,0.0
Atascosa,03-06-2020,0.0
Austin,03-06-2020,0.0
Bailey,03-06-2020,0.0
Bandera,03-06-2020,0.0
Bastrop,03-06-2020,0.0
Baylor,03-06-2020,0.0
Bee,03-06-2020,0.0
Bell,03-06-2020,0.0
Bexar,03-06-2020,0.0
Blanco,03-06-2020,0.0
Borden,03-06-2020,0.0
Bosque,03-06-2020,0.0
Bowie,03-06-2020,0.0
Brazoria,03-06-2020,0.0
Brazos,03-06-2020,0.0
Brewster,03-06-2020,0.0
Briscoe,03-06-2020,0.0
Brooks,03-06-2020,0.0
Brown,03-06-2020,0.0
Burleson,03-06-2020,0.0
Burnet,03-06-2020,0.0
Caldwell,03-06-2020,0.0
Calhoun,03-06-2020,0.0
Callahan,03-06-2020,0.0
Cameron,03-06-2020,0.0
Camp,03-06-2020,0.0
Carson,03-06-2020,0.0
Cass,03-06-2020,0.0
Castro,03-06-2020,0.0
Chambers,03-06-2020,0.0
Cherokee,03-06-2020,0.0
Childress,03-06-2020,0.0
Clay,03-06-2020,0.0
Cochran,03-06-2020,0.0
Coke,03-06-2020,0.0
Coleman,03-06-2020,0.0
Collin,03-06-2020,0.0
Collingsworth,03-06-2020,0.0
Colorado,03-06-2020,0.0
Comal,03-06-2020,0.0
Comanche,03-06-2020,0.0
Concho,03-06-2020,0.0
Cooke,03-06-2020,0.0
Coryell,03-06-2020,0.0
Cottle,03-06-2020,0.0
Crane,03-06-2020,0.0
Crockett,03-06-2020,0.0
Crosby,03-06-2020,0.0
Culberson,03-06-2020,0.0
Dallam,03-06-2020,0.0
Dallas,03-06-2020,0.0
Dawson,03-06-2020,0.0
Deaf Smith,03-06-2020,0.0
Delta,03-06-2020,0.0
Denton,03-06-2020,0.0
DeWitt,03-06-2020,0.0
Dickens,03-06-2020,0.0
Dimmit,03-06-2020,0.0
Donley,03-06-2020,0.0
Duval,03-06-2020,0.0
Eastland,03-06-2020,0.0
Ector,03-06-2020,0.0
Edwards,03-06-2020,0.0
Ellis,03-06-2020,0.0
El Paso,03-06-2020,0.0
Erath,03-06-2020,0.0
Falls,03-06-2020,0.0
Fannin,03-06-2020,0.0
Fayette,03-06-2020,0.0
Fisher,03-06-2020,0.0
Floyd,03-06-2020,0.0
Foard,03-06-2020,0.0
Fort Bend,03-06-2020,1.0
Franklin,03-06-2020,0.0
Freestone,03-06-2020,0.0
Frio,03-06-2020,0.0
Gaines,03-06-2020,0.0
Galveston,03-06-2020,0.0
Garza,03-06-2020,0.0
Gillespie,03-06-2020,0.0
Glasscock,03-06-2020,0.0
Goliad,03-06-2020,0.0
Gonzales,03-06-2020,0.0
Gray,03-06-2020,0.0
Grayson,03-06-2020,0.0
Gregg,03-06-2020,0.0
Grimes,03-06-2020,0.0
Guadalupe,03-06-2020,0.0
Hale,03-06-2020,0.0
Hall,03-06-2020,0.0
Hamilton,03-06-2020,0.0
Hansford,03-06-2020,0.0
Hardeman,03-06-2020,0.0
Hardin,03-06-2020,0.0
Harris,03-06-2020,4.0
Harrison,03-06-2020,0.0
Hartley,03-06-2020,0.0
Haskell,03-06-2020,0.0
Hays,03-06-2020,0.0
Hemphill,03-06-2020,0.0
Henderson,03-06-2020,0.0
Hidalgo,03-06-2020,0.0
Hill,03-06-2020,0.0
Hockley,03-06-2020,0.0
Hood,03-06-2020,0.0
Hopkins,03-06-2020,0.0
Houston,03-06-2020,0.0
Howard,03-06-2020,0.0
Hudspeth,03-06-2020,0.0
Hunt,03-06-2020,0.0
Hutchinson,03-06-2020,0.0
Irion,03-06-2020,0.0
Jack,03-06-2020,0.0
Jackson,03-06-2020,0.0
Jasper,03-06-2020,0.0
Jeff Davis,03-06-2020,0.0
Jefferson,03-06-2020,0.0
Jim Hogg,03-06-2020,0.0
Jim Wells,03-06-2020,0.0
Johnson,03-06-2020,0.0
Jones,03-06-2020,0.0
Karnes,03-06-2020,0.0
Kaufman,03-06-2020,0.0
Kendall,03-06-2020,0.0
Kenedy,03-06-2020,0.0
Kent,03-06-2020,0.0
Kerr,03-06-2020,0.0
Kimble,03-06-2020,0.0
King,03-06-2020,0.0
Kinney,03-06-2020,0.0
Kleberg,03-06-2020,0.0
Knox,03-06-2020,0.0
Lamar,03-06-2020,0.0
Lamb,03-06-2020,0.0
Lampasas,03-06-2020,0.0
La Salle,03-06-2020,0.0
Lavaca,03-06-2020,0.0
Lee,03-06-2020,0.0
Leon,03-06-2020,0.0
Liberty,03-06-2020,0.0
Limestone,03-06-2020,0.0
Lipscomb,03-06-2020,0.0
Live Oak,03-06-2020,0.0
Llano,03-06-2020,0.0
Loving,03-06-2020,0.0
Lubbock,03-06-2020,0.0
Lynn,03-06-2020,0.0
McCulloch,03-06-2020,0.0
McLennan,03-06-2020,0.0
McMullen,03-06-2020,0.0
Madison,03-06-2020,0.0
Marion,03-06-2020,0.0
Martin,03-06-2020,0.0
Mason,03-06-2020,0.0
Matagorda,03-06-2020,0.0
Maverick,03-06-2020,0.0
Medina,03-06-2020,0.0
Menard,03-06-2020,0.0
Midland,03-06-2020,0.0
Milam,03-06-2020,0.0
Mills,03-06-2020,0.0
Mitchell,03-06-2020,0.0
Montague,03-06-2020,0.0
Montgomery,03-06-2020,0.0
Moore,03-06-2020,0.0
Morris,03-06-2020,0.0
Motley,03-06-2020,0.0
Nacogdoches,03-06-2020,0.0
Navarro,03-06-2020,0.0
Newton,03-06-2020,0.0
Nolan,03-06-2020,0.0
Nueces,03-06-2020,0.0
Ochiltree,03-06-2020,0.0
Oldham,03-06-2020,0.0
Orange,03-06-2020,0.0
Palo Pinto,03-06-2020,0.0
Panola,03-06-2020,0.0
Parker,03-06-2020,0.0
Parmer,03-06-2020,0.0
Pecos,03-06-2020,0.0
Polk,03-06-2020,0.0
Potter,03-06-2020,0.0
Presidio,03-06-2020,0.0
Rains,03-06-2020,0.0
Randall,03-06-2020,0.0
Reagan,03-06-2020,0.0
Real,03-06-2020,0.0
Red River,03-06-2020,0.0
Reeves,03-06-2020,0.0
Refugio,03-06-2020,0.0
Roberts,03-06-2020,0.0
Robertson,03-06-2020,0.0
Rockwall,03-06-2020,0.0
Runnels,03-06-2020,0.0
Rusk,03-06-2020,0.0
Sabine,03-06-2020,0.0
San Augustine,03-06-2020,0.0
San Jacinto,03-06-2020,0.0
San Patricio,03-06-2020,0.0
San Saba,03-06-2020,0.0
Schleicher,03-06-2020,0.0
Scurry,03-06-2020,0.0
Shackelford,03-06-2020,0.0
Shelby,03-06-2020,0.0
Sherman,03-06-2020,0.0
Smith,03-06-2020,0.0
Somervell,03-06-2020,0.0
Starr,03-06-2020,0.0
Stephens,03-06-2020,0.0
Sterling,03-06-2020,0.0
Stonewall,03-06-2020,0.0
Sutton,03-06-2020,0.0
Swisher,03-06-2020,0.0
Tarrant,03-06-2020,0.0
Taylor,03-06-2020,0.0
Terrell,03-06-2020,0.0
Terry,03-06-2020,0.0
Throckmorton,03-06-2020,0.0
Titus,03-06-2020,0.0
Tom Green,03-06-2020,0.0
Travis,03-06-2020,0.0
Trinity,03-06-2020,0.0
Tyler,03-06-2020,0.0
Upshur,03-06-2020,0.0
Upton,03-06-2020,0.0
Uvalde,03-06-2020,0.0
Val Verde,03-06-2020,0.0
Van Zandt,03-06-2020,0.0
Victoria,03-06-2020,0.0
Walker,03-06-2020,0.0
Waller,03-06-2020,0.0
Ward,03-06-2020,0.0
Washington,03-06-2020,0.0
Webb,03-06-2020,0.0
Wharton,03-06-2020,0.0
Wheeler,03-06-2020,0.0
Wichita,03-06-2020,0.0
Wilbarger,03-06-2020,0.0
Willacy,03-06-2020,0.0
Williamson,03-06-2020,0.0
Wilson,03-06-2020,0.0
Winkler,03-06-2020,0.0
Wise,03-06-2020,0.0
Wood,03-06-2020,0.0
Yoakum,03-06-2020,0.0
Young,03-06-2020,0.0
Zapata,03-06-2020,0.0
Zavala,03-06-2020,0.0
Total,03-06-2020,5.0
Counties Reporting Cases,03-06-2020,2.0
Anderson,03-09-2020,0.0
Andrews,03-09-2020,0.0
Angelina,03-09-2020,0.0
Aransas,03-09-2020,0.0
Archer,03-09-2020,0.0
Armstrong,03-09-2020,0.0
Atascosa,03-09-2020,0.0
Austin,03-09-2020,0.0
Bailey,03-09-2020,0.0
Bandera,03-09-2020,0.0
Bastrop,03-09-2020,0.0
Baylor,03-09-2020,0.0
Bee,03-09-2020,0.0
Bell,03-09-2020,0.0
Bexar,03-09-2020,0.0
Blanco,03-09-2020,0.0
Borden,03-09-2020,0.0
Bosque,03-09-2020,0.0
Bowie,03-09-2020,0.0
Brazoria,03-09-2020,0.0
Brazos,03-09-2020,0.0
Brewster,03-09-2020,0.0
Briscoe,03-09-2020,0.0
Brooks,03-09-2020,0.0
Brown,03-09-2020,0.0
Burleson,03-09-2020,0.0
Burnet,03-09-2020,0.0
Caldwell,03-09-2020,0.0
Calhoun,03-09-2020,0.0
Callahan,03-09-2020,0.0
Cameron,03-09-2020,0.0
Camp,03-09-2020,0.0
Carson,03-09-2020,0.0
Cass,03-09-2020,0.0
Castro,03-09-2020,0.0
Chambers,03-09-2020,0.0
Cherokee,03-09-2020,0.0
Childress,03-09-2020,0.0
Clay,03-09-2020,0.0
Cochran,03-09-2020,0.0
Coke,03-09-2020,0.0
Coleman,03-09-2020,0.0
Collin,03-09-2020,1.0
Collingsworth,03-09-2020,0.0
Colorado,03-09-2020,0.0
Comal,03-09-2020,0.0
Comanche,03-09-2020,0.0
Concho,03-09-2020,0.0
Cooke,03-09-2020,0.0
Coryell,03-09-2020,0.0
Cottle,03-09-2020,0.0
Crane,03-09-2020,0.0
Crockett,03-09-2020,0.0
Crosby,03-09-2020,0.0
Culberson,03-09-2020,0.0
Dallam,03-09-2020,0.0
Dallas,03-09-2020,0.0
Dawson,03-09-2020,0.0
Deaf Smith,03-09-2020,0.0
Delta,03-09-2020,0.0
Denton,03-09-2020,0.0
DeWitt,03-09-2020,0.0
Dickens,03-09-2020,0.0
Dimmit,03-09-2020,0.0
Donley,03-09-2020,0.0
Duval,03-09-2020,0.0
Eastland,03-09-2020,0.0
Ector,03-09-2020,0.0
Edwards,03-09-2020,0.0
Ellis,03-09-2020,0.0
El Paso,03-09-2020,0.0
